sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 49,flat,orchid petals,2.45,11887.0,2061.08,3.0,3.0,3,0.0,Relatively New,1865.0,0,0,0,0,1,0,49,687.0266666666666
sector 109,house,international city by sobha phase 1,6.1,25103.0,2430.0,5.0,6.0,3+,2.0,Moderately Old,2430.0,0,0,1,0,0,0,30,486.0
sector 1,flat,sonata group housing gh 24,1.65,5892.0,2800.41,4.0,3.0,3,8.0,New Property,3111.0,0,0,1,0,0,0,20,700.1025
sector 7,house,independent,0.66,12000.0,550.0,3.0,1.0,1.0,3.0,Relatively New,550.0,1,0,0,0,0,0,22,183.33333333333337
sector 37d,flat,bptp terra,1.4,7730.0,1811.13,3.0,3.0,3,5.0,Relatively New,1711.0,0,0,0,0,0,2,149,603.71
sector 106,flat,paras dews,0.92,6642.0,1385.12,2.0,2.0,3+,2.0,Relatively New,940.0,0,0,0,0,0,0,174,692.56
sector 102,flat,shapoorji pallonji joyville gurugram,1.6,11700.0,1367.52,2.0,2.0,3,14.0,Moderately Old,1368.0,0,0,0,0,0,0,0,683.76
sector 80,flat,godrej frontier,1.6,7000.0,2285.71,3.0,3.0,3,5.0,Moderately Old,2047.0,0,0,1,0,0,0,53,761.9033333333333
sector 78,flat,umang monsoon breeze,0.75,6053.0,1239.06,2.0,2.0,1,5.0,Moderately Old,1239.0,0,0,0,0,0,0,0,619.53
sector 86,flat,dlf the skycourt,1.58,8190.0,1929.18,3.0,3.0,1,16.0,Relatively New,1750.0,0,1,0,0,0,2,152,643.0600000000001
sector 3,house,independent,0.4,8000.0,500.0,2.0,1.0,0,1.0,Old Property,500.0,0,0,0,0,0,0,0,250.0
sector 113,flat,la vida by tata housing,2.4,10825.0,2217.09,3.0,4.0,3+,5.0,Relatively New,1940.0,0,0,1,0,0,0,49,739.0300000000001
sector 49,house,uppal southend,4.4,15278.0,2880.0,6.0,6.0,3.0,3.0,Moderately Old,2880.0,0,1,1,1,1,1,110,480.0
sector 67,flat,bestech park view spa next,3.32,12599.0,2635.13,4.0,5.0,3+,12.0,Moderately Old,2385.0,0,0,1,0,0,2,174,658.7825
sector 95,flat,ramsons kshitij,0.28,3650.0,767.12,2.0,2.0,2,5.0,New Property,694.0,1,0,0,0,0,0,0,383.56
sector 104,flat,ats triumph,2.65,8412.0,3150.26,4.0,4.0,3+,10.0,Relatively New,2851.0,0,0,1,0,0,0,174,787.565
sector 88a,flat,godrej oasis,1.5,8108.0,1850.02,3.0,3.0,3+,11.0,New Property,1674.0,0,0,0,0,0,0,39,616.6733333333333
sector 102,flat,shapoorji pallonji joyville gurugram,1.95,10529.0,1852.03,3.0,3.0,3,10.0,Relatively New,1676.0,0,0,0,0,0,0,59,617.3433333333334
sector 106,flat,paras dews,1.13,6406.0,1763.97,3.0,4.0,3+,18.0,Relatively New,1186.0,0,0,1,0,1,0,49,587.99
