sector,property_type,price,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 49,flat,2.45,3.0,3.0,1865.0,0,1,Low
sector 109,house,6.1,5.0,6.0,2430.0,1,0,Low
sector 1,flat,1.65,4.0,3.0,3111.0,1,0,Low
sector 7,house,0.66,3.0,1.0,550.0,0,0,Low
sector 37d,flat,1.4,3.0,3.0,1711.0,0,0,Medium
sector 106,flat,0.92,2.0,2.0,940.0,0,0,High
sector 102,flat,1.6,2.0,2.0,1368.0,0,0,Low
sector 80,flat,1.6,3.0,3.0,2047.0,1,0,Medium
sector 78,flat,0.75,2.0,2.0,1239.0,0,0,Low
sector 86,flat,1.58,3.0,3.0,1750.0,0,0,High
sector 3,house,0.4,2.0,1.0,500.0,0,0,Low
sector 113,flat,2.4,3.0,4.0,1940.0,1,0,Low
sector 49,house,4.4,6.0,6.0,2880.0,1,1,Medium
sector 67,flat,3.32,4.0,5.0,2385.0,1,0,High
sector 95,flat,0.28,2.0,2.0,694.0,0,0,Low
sector 104,flat,2.65,4.0,4.0,2851.0,1,0,High
sector 88a,flat,1.5,3.0,3.0,1674.0,0,0,Low
sector 102,flat,1.95,3.0,3.0,1676.0,0,0,Medium
sector 106,flat,1.13,3.0,4.0,1186.0,1,1,Low
sector 79,flat,0.95,2.0,2.0,1385.0,0,1,Low
sector 111,flat,2.65,3.0,4.0,2086.0,1,0,High
sushant lok,house,2.5,7.0,7.0,963.0,0,0,Low
sector 23,house,2.7,5.0,5.0,1450.1,0,0,Low
sector 37c,flat,1.05,3.0,3.0,1500.0,0,0,Low
sector 102,flat,0.96,2.0,2.0,828.0,0,0,Medium
sector 48,flat,5.0,3.0,4.0,4778.0,0,0,Medium
sector 79,flat,1.29,2.0,2.0,1423.0,0,0,Low
sector 89,flat,1.28,3.0,3.0,1611.0,0,1,Medium
sector 104,flat,1.8,3.0,4.0,2544.0,0,0,Medium
sector 92,flat,1.6,3.0,3.0,1765.0,1,0,Medium
sector 102,flat,2.15,3.0,4.0,1945.0,1,1,Medium
sector 63,flat,3.25,3.0,3.0,2700.0,0,0,Low
