sector,property_type,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sector 49,flat,3.0,3.0,1865.0,No,Yes,Low
sector 109,house,5.0,6.0,2430.0,Yes,No,Low
sector 1,flat,4.0,3.0,3111.0,Yes,No,Low
sector 7,house,3.0,1.0,550.0,No,No,Low
sector 37d,flat,3.0,3.0,1711.0,No,No,Medium
sector 106,flat,2.0,2.0,940.0,No,No,High
sector 102,flat,2.0,2.0,1368.0,No,No,Low
sector 80,flat,3.0,3.0,2047.0,Yes,No,Medium
sector 78,flat,2.0,2.0,1239.0,No,No,Low
sector 86,flat,3.0,3.0,1750.0,No,No,High
sector 3,house,2.0,1.0,500.0,No,No,Low
sector 113,flat,3.0,4.0,1940.0,Yes,No,Low
sector 49,house,6.0,6.0,2880.0,Yes,Yes,Medium
sector 67,flat,4.0,5.0,2385.0,Yes,No,High
sector 95,flat,2.0,2.0,694.0,No,No,Low
sector 104,flat,4.0,4.0,2851.0,Yes,No,High
sector 88a,flat,3.0,3.0,1674.0,No,No,Low
sector 102,flat,3.0,3.0,1676.0,No,No,Medium
sector 106,flat,3.0,4.0,1186.0,Yes,Yes,Low
sector 79,flat,2.0,2.0,1385.0,No,Yes,Low
sector 111,flat,3.0,4.0,2086.0,Yes,No,High
sushant lok,house,7.0,7.0,963.0,No,No,Low
sector 23,house,5.0,5.0,1450.1,No,No,Low
sector 37c,flat,3.0,3.0,1500.0,No,No,Low
sector 102,flat,2.0,2.0,828.0,No,No,Medium
sector 48,flat,3.0,4.0,4778.0,No,No,Medium
sector 79,flat,2.0,2.0,1423.0,No,No,Low
sector 89,flat,3.0,3.0,1611.0,No,Yes,Medium
sector 104,flat,3.0,4.0,2544.0,No,No,Medium
sector 92,flat,3.0,3.0,1765.0,Yes,No,Medium
sector 102,flat,3.0,4.0,1945.0,Yes,Yes,Medium
sector 63,flat,3.0,3.0,2700.0,No,No,Low
sector 86,flat,4.0,6.0,2521.0,Yes,No,Medium
sector 92,flat,3.0,4.0,1778.0,No,Yes,Medium
sector 107,flat,3.0,4.0,2137.0,No,No,Medium
sector 70,flat,3.0,5.0,1527.0,Yes,No,Low
sector 68,flat,3.0,3.0,1845.0,No,No,Medium
sector 65,flat,3.0,3.0,1828.04,No,No,Medium
sector 52,flat,3.0,3.0,2556.0,No,No,Medium
sector 78,flat,3.0,4.0,1668.0,Yes,No,Medium
sector 102,flat,3.0,3.0,1852.0,No,No,Medium
sector 52,house,6.0,5.0,3132.0,No,No,Low
sector 51,flat,1.0,1.0,80.0,No,Yes,Low
sector 112,flat,2.0,3.0,2441.15,Yes,Yes,Medium
sector 65,flat,3.0,3.0,1828.95,No,No,Medium
sohna road,flat,2.0,2.0,995.0,No,No,Low
sector 102,flat,2.0,2.0,817.0,No,No,Medium
sector 113,flat,3.0,3.0,2014.0,No,No,Medium
sector 99a,flat,3.0,5.0,1750.0,Yes,No,Low
sector 81,flat,2.0,2.0,1223.0,No,Yes,Medium
sector 85,flat,3.0,4.0,2300.0,No,No,Low
sushant lok,house,4.0,4.0,3762.0,Yes,No,Medium
sector 22,flat,3.0,3.0,2069.0,No,No,Medium
sector 60,flat,2.0,3.0,1250.0,Yes,No,Low
sector 80,flat,3.0,3.0,1580.0,Yes,No,Medium
sector 104,flat,3.0,4.0,2072.0,Yes,No,Medium
sector 54,flat,3.0,4.0,1875.05,Yes,No,Low
sohna road,flat,2.0,2.0,669.0,No,No,Medium
sector 53,flat,3.0,4.0,2895.0,No,No,Medium
dlf phase,house,2.0,4.0,1080.0,No,No,Low
sector 37c,flat,2.0,3.0,1442.0,No,Yes,Low
sector 50,house,3.0,9.0,2160.0,Yes,Yes,Medium
sector 67,house,6.0,7.0,3600.0,Yes,Yes,Low
sector 50,house,5.0,5.0,3240.0,Yes,No,Low
sector 108,flat,3.0,3.0,1275.0,No,Yes,Medium
sector 110,flat,4.0,4.0,3350.0,No,No,Medium
sector 69,flat,3.0,4.0,2056.0,No,No,High
mehrauli gurgaon,flat,4.0,5.0,2200.0,Yes,Yes,Medium
sector 37d,flat,2.0,2.0,1410.0,No,No,Medium
sector 86,flat,3.0,3.0,1780.0,No,Yes,High
sector 103,flat,1.0,1.0,400.0,No,No,Low
sector 83,flat,3.0,3.0,1387.0,Yes,Yes,High
sector 85,flat,4.0,4.0,3151.0,No,No,Low
sector 56,flat,4.0,4.0,2253.0,No,No,Low
sector 48,house,3.0,4.0,2592.0,Yes,Yes,Medium
sector 33,house,6.0,5.0,4499.9,No,No,Low
sector 22,flat,3.0,5.0,2796.0,Yes,No,Medium
sector 72,flat,4.0,5.0,2701.0,Yes,No,High
sector 33,flat,2.0,2.0,1100.0,No,No,Low
sector 89,flat,3.0,3.0,1423.0,No,No,Low
sector 13,house,2.0,4.0,785.0,Yes,Yes,Low
sector 56,house,6.0,6.0,1530.0,No,No,Low
sector 69,flat,3.0,3.0,1376.0,No,No,High
sector 61,flat,3.0,3.0,1630.0,No,No,Medium
sector 91,flat,4.0,3.0,2106.0,Yes,Yes,Medium
sector 66,house,4.0,4.0,5200.0,Yes,No,Medium
sohna road,flat,2.0,2.0,1222.0,No,Yes,Medium
sector 109,flat,4.0,4.0,3150.0,Yes,No,High
sector 12,flat,2.0,2.0,800.0,No,No,Low
sector 40,house,3.0,3.0,900.0,No,No,Low
sector 81,flat,3.0,2.0,1352.0,No,No,Medium
sector 50,house,4.0,4.0,2160.0,Yes,No,Low
sector 61,flat,3.0,3.0,1721.0,No,No,High
sector 65,flat,3.0,3.0,1556.0,No,No,Medium
sector 67,flat,1.0,1.0,610.0,No,No,Low
sector 90,flat,3.0,3.0,1578.0,No,No,Low
sector 68,flat,3.0,3.0,1845.0,No,No,Medium
sector 103,flat,2.0,2.0,1222.0,No,No,Low
sector 85,flat,2.0,2.0,1730.0,No,No,Low
sector 4,flat,2.0,2.0,1056.0,No,No,Low
sector 7,house,5.0,3.0,1350.0,Yes,Yes,Low
sushant lok,house,6.0,6.0,1935.0,Yes,No,Low
sector 102,flat,3.0,3.0,2222.0,Yes,No,Medium
sector 109,flat,3.0,3.0,1550.0,No,No,Medium
sector 108,flat,3.0,3.0,1711.09,No,No,Medium
sector 70,flat,3.0,3.0,1765.0,Yes,No,Low
sector 65,flat,3.0,3.0,1828.09,No,No,Medium
sector 108,flat,2.0,2.0,2060.0,No,No,Low
sector 109,flat,3.0,3.0,1466.0,No,No,High
sector 50,house,6.0,6.0,4861.0,No,No,Low
sector 104,flat,4.0,4.0,2509.0,Yes,No,High
sector 86,flat,3.0,3.0,1746.0,No,No,Low
sector 9a,flat,3.0,3.0,1403.0,No,No,Low
sector 83,flat,4.0,4.0,2000.0,Yes,Yes,Medium
sector 106,flat,4.0,3.0,1678.0,Yes,No,Medium
sector 40,house,3.0,3.0,900.0,No,Yes,Low
sector 110,flat,2.0,1.0,543.0,No,No,Low
sector 90,flat,4.0,4.0,2468.0,No,No,Medium
sector 62,flat,1.0,1.0,639.0,No,No,Low
sector 33,flat,3.0,4.0,129.0,Yes,No,Medium
new palam,house,3.0,2.0,900.0,No,No,Low
sector 68,flat,2.0,2.0,1361.0,Yes,No,Medium
sector 85,flat,2.0,2.0,1512.0,No,No,Medium
sector 67,flat,3.0,3.0,2236.0,Yes,No,High
sector 49,flat,3.0,4.0,1750.0,Yes,No,Medium
sector 48,house,5.0,7.0,2727.0,Yes,No,Medium
sector 4,house,1.0,1.0,432.0,No,No,Low
sector 90,flat,3.0,3.0,1929.0,Yes,No,Medium
sector 50,house,5.0,7.0,7000.0,Yes,No,Low
sector 102,flat,4.0,5.0,2894.0,Yes,No,Medium
sector 88a,flat,2.0,2.0,146.0,No,Yes,Medium
sector 103,flat,2.0,2.0,1288.0,No,No,Low
sector 108,flat,3.0,3.0,1500.0,Yes,No,Medium
sector 105,house,2.0,2.0,56.0,No,No,Low
sector 33,house,5.0,6.0,4950.0,Yes,Yes,Low
sector 84,flat,2.0,2.0,537.0,No,No,Low
sector 83,flat,3.0,3.0,1549.0,Yes,No,Medium
sector 47,house,3.0,3.0,275.0,No,No,Low
sector 90,flat,3.0,3.0,1572.0,No,No,Medium
sector 84,flat,4.0,4.0,3165.0,Yes,No,Low
sector 111,flat,4.0,5.0,2670.0,Yes,No,Medium
sector 69,flat,4.0,4.0,1819.0,No,No,Medium
sector 72,flat,4.0,5.0,3374.0,Yes,Yes,Medium
sector 69,flat,2.0,2.0,991.0,No,No,Low
sector 102,flat,2.0,2.0,1100.0,No,No,Medium
sector 81,flat,2.0,2.0,700.0,No,No,Medium
sohna road,flat,2.0,2.0,1131.0,No,Yes,High
sector 99a,flat,2.0,2.0,538.0,No,No,Low
sector 61,flat,2.0,2.0,1333.0,No,Yes,Medium
sector 48,house,3.0,4.0,2592.0,Yes,Yes,Medium
sushant lok,flat,3.0,3.0,1320.0,No,No,Medium
sector 69,flat,4.0,5.0,2172.0,Yes,No,High
sector 70a,flat,3.0,3.0,1788.0,Yes,No,Low
sector 78,flat,3.0,3.0,1969.0,Yes,No,Low
dlf phase,house,4.0,4.0,1350.0,No,No,Low
sector 50,house,5.0,6.0,3240.0,No,No,Low
sector 93,flat,4.0,4.0,2105.0,No,No,Low
sector 69,flat,4.0,4.0,1783.0,No,No,Medium
sector 4,house,3.0,3.0,76.0,No,No,Low
sector 92,flat,3.0,3.0,1692.0,No,Yes,Medium
sector 109,house,4.0,4.0,5400.0,Yes,No,Medium
sector 92,flat,4.0,3.0,2040.0,Yes,Yes,Medium
sector 61,flat,2.0,2.0,1533.0,Yes,No,Medium
sushant lok,house,6.0,6.0,3450.0,Yes,Yes,High
sector 56,house,2.0,2.0,1458.0,No,No,Low
sohna road,flat,2.0,1.0,828.0,No,No,Medium
sector 45,house,6.0,6.0,3240.0,Yes,Yes,Medium
sector 37c,flat,3.0,4.0,1635.0,No,No,Medium
sector 71,flat,3.0,3.0,1466.0,No,Yes,Medium
sector 85,flat,3.0,3.0,2032.0,No,No,Medium
sector 1a,flat,3.0,3.0,1924.0,Yes,No,Low
sector 70a,house,4.0,4.0,6000.0,Yes,No,High
sector 104,flat,4.0,4.0,2851.0,Yes,No,Medium
sector 83,flat,3.0,4.0,1667.0,Yes,No,Medium
sector 77,flat,3.0,3.0,1833.0,Yes,Yes,Low
sector 56,flat,1.0,2.0,678.0,No,No,Medium
sohna road,flat,1.0,1.0,600.0,No,No,Low
sector 55,house,4.0,4.0,1500.0,No,No,Low
sector 5,flat,1.0,1.0,648.0,No,No,Low
sector 83,flat,3.0,3.0,1600.0,Yes,No,High
sector 111,flat,3.0,4.0,2200.05,Yes,No,Medium
sector 48,flat,3.0,3.0,2364.0,Yes,No,Medium
sector 60,flat,4.0,5.0,2604.0,Yes,No,Low
sector 62,flat,3.0,3.0,2342.0,Yes,No,Low
sector 79,flat,2.0,2.0,1350.0,No,Yes,Medium
sohna road,flat,2.0,2.0,1131.0,No,Yes,Low
sector 99a,flat,3.0,5.0,1807.0,No,No,Low
sector 90,flat,4.0,4.0,3030.0,Yes,No,Medium
sector 37c,flat,2.0,2.0,1578.0,Yes,No,Medium
sector 65,flat,3.0,3.0,2040.02,Yes,No,Low
sector 37c,flat,3.0,3.0,1581.0,No,Yes,Low
golf course,flat,2.0,2.0,1200.0,No,No,Low
sector 102,flat,3.0,4.0,1750.0,Yes,No,High
sector 50,flat,3.0,3.0,1900.0,No,No,Low
sector 66,flat,3.0,3.0,1950.05,No,Yes,Medium
sector 103,flat,2.0,2.0,1450.0,No,No,Medium
sector 83,flat,3.0,3.0,1719.0,No,No,Medium
sector 79,flat,3.0,2.0,1570.0,No,No,Low
sector 110,flat,4.0,4.0,2350.0,Yes,No,High
sector 108,flat,3.0,4.0,2003.04,No,No,Medium
sector 83,flat,2.0,2.0,1154.0,No,No,High
sector 104,flat,3.0,2.0,848.0,No,No,Medium
manesar,flat,3.0,3.0,2556.0,No,No,Low
dlf phase,house,5.0,5.0,4518.0,Yes,Yes,Medium
sector 92,flat,3.0,2.0,1141.0,No,No,Low
sohna road,flat,2.0,2.0,1095.0,No,No,Medium
sohna road,flat,1.0,1.0,438.0,No,No,Low
sector 50,flat,3.0,3.0,2400.0,Yes,No,Medium
sector 69,flat,4.0,4.0,1783.0,No,No,Medium
sector 70,flat,3.0,3.0,1688.0,No,No,Medium
sector 107,flat,2.0,2.0,1236.0,No,No,Medium
sector 50,house,4.0,5.0,4500.0,Yes,No,Medium
dlf phase,flat,2.0,2.0,1120.0,No,No,Medium
sector 69,flat,3.0,3.0,1428.0,No,No,Medium
sector 79,flat,3.0,3.0,1795.0,No,No,Medium
sector 9,house,4.0,3.0,200.0,No,No,Low
sector 39,house,2.0,2.0,8100.0,Yes,No,Low
sector 79,flat,2.0,2.0,1450.0,No,Yes,Medium
sohna road,flat,2.0,2.0,590.0,No,No,Low
sector 50,house,3.0,3.0,2160.0,Yes,No,Medium
sector 89,flat,2.0,2.0,1441.0,No,No,Low
sohna road road,house,2.0,1.0,900.0,No,No,Low
sector 52,flat,4.0,4.0,2100.0,No,No,Low
sector 70a,flat,4.0,3.0,2111.0,No,No,Low
sector 37d,flat,3.0,3.0,1725.0,No,No,Low
sector 17b,house,4.0,4.0,3500.0,Yes,Yes,Low
sector 112,flat,2.0,2.0,1498.0,No,No,Medium
sector 89,flat,3.0,3.0,1581.0,No,No,Low
sector 2,flat,2.0,2.0,1416.0,No,Yes,Medium
sector 51,flat,1.0,1.0,459.0,No,No,Low
sector 50,flat,4.0,3.0,3982.0,Yes,No,Low
dlf phase,house,4.0,3.0,1800.0,No,Yes,Low
sector 61,flat,3.0,3.0,1721.0,No,No,Low
sector 102,flat,3.0,3.0,1571.0,No,No,Medium
sector 1,flat,3.0,3.0,2200.0,No,No,Low
sector 37d,flat,3.0,3.0,1602.0,No,No,Low
sector 93,flat,2.0,2.0,660.0,No,No,Low
sector 86,flat,3.0,4.0,1800.0,Yes,No,Medium
sector 82,flat,4.0,5.0,2195.0,Yes,No,Medium
sector 67,flat,3.0,4.0,2225.0,Yes,No,High
sector 81,flat,4.0,6.0,3801.0,Yes,No,Low
sector 88a,flat,2.0,2.0,1611.0,No,Yes,Medium
sushant lok,house,6.0,6.0,2700.0,Yes,Yes,Medium
sector 92,flat,4.0,3.0,1983.0,No,No,Low
sector 11,house,5.0,4.0,1850.0,No,No,Low
sushant lok,house,4.0,3.0,1665.0,Yes,Yes,High
sector 92,flat,3.0,2.0,2350.0,No,No,Low
sector 89,flat,3.0,3.0,867.0,No,No,Low
sector 107,flat,2.0,2.0,1236.0,No,No,Low
sector 92,flat,3.0,3.0,1473.0,No,No,Medium
sector 82,flat,3.0,4.0,1620.0,Yes,No,Medium
sector 108,flat,3.0,3.0,2120.0,Yes,No,Medium
sector 79,flat,3.0,3.0,1215.0,No,Yes,High
sector 85,flat,4.0,4.0,1575.0,No,No,Low
sector 86,flat,2.0,2.0,557.0,No,Yes,Medium
sector 67,flat,3.0,3.0,2200.0,Yes,No,Low
sector 60,flat,4.0,5.0,2534.0,Yes,No,High
sector 6,house,2.0,2.0,1222.0,No,No,Low
sector 84,flat,3.0,2.0,1222.0,No,Yes,Medium
dlf phase,flat,3.0,3.0,1608.0,Yes,No,Medium
sector 92,flat,4.0,4.0,2518.0,Yes,No,Medium
sector 104,flat,3.0,3.0,2544.0,Yes,No,Medium
sector 83,flat,3.0,3.0,1588.0,Yes,Yes,High
sector 14,house,1.0,1.0,2250.0,No,No,Low
sector 104,flat,2.0,2.0,86.0,No,Yes,Medium
sector 105,house,3.0,2.0,3889.0,No,No,Low
surat nagar,house,4.0,3.0,1170.0,No,No,Low
sector 99a,flat,3.0,3.0,1810.0,No,No,Low
sector 63a,flat,3.0,2.0,630.0,No,No,Low
sector 92,flat,4.0,4.0,1920.0,Yes,Yes,Low
sector 102,flat,3.0,3.0,1531.0,No,No,Medium
gwal pahari,flat,2.0,2.0,833.0,No,No,Low
sector 7,house,3.0,3.0,2250.0,No,No,Low
sector 104,flat,4.0,5.0,3000.0,Yes,Yes,Medium
sector 36a,flat,1.0,1.0,600.0,No,No,Low
sector 105,flat,3.0,2.0,833.0,No,No,Low
sector 92,flat,4.0,4.0,2093.0,No,No,Low
sector 81,flat,4.0,5.0,3801.0,Yes,No,Medium
sector 108,flat,2.0,3.0,978.0,Yes,No,Medium
sector 70a,flat,3.0,3.0,1339.0,No,No,Medium
sector 46,house,3.0,3.0,909.0,No,No,Medium
sector 104,flat,2.0,2.0,1611.0,No,Yes,Medium
sector 103,flat,4.0,6.0,2729.0,Yes,No,High
sector 106,flat,2.0,2.0,1539.0,No,No,Medium
sector 89,flat,2.0,2.0,998.0,No,Yes,Medium
sector 17,house,8.0,8.0,4050.0,No,Yes,Low
sector 89,flat,2.0,2.0,804.0,No,Yes,Medium
sector 81,flat,4.0,5.0,3017.0,Yes,No,Medium
sector 67,flat,3.0,3.0,2724.0,Yes,No,Medium
sector 23,house,9.0,9.0,4200.0,Yes,No,Low
sector 85,flat,2.0,2.0,1670.0,No,No,Low
sector 109,house,3.0,2.0,2360.0,No,No,Low
sector 81,flat,1.0,1.0,366.0,No,No,Medium
sector 67,flat,3.0,3.0,200.0,No,No,Low
sohna road,flat,2.0,2.0,913.0,No,No,High
sector 93,flat,3.0,4.0,1350.0,No,No,Medium
sector 102,flat,3.0,4.0,2334.0,No,Yes,Low
sector 92,flat,4.0,3.0,2533.0,Yes,No,Medium
sector 69,flat,3.0,3.0,1428.0,No,No,High
sector 74,flat,2.0,2.0,1272.0,No,No,Low
sector 85,flat,2.0,2.0,1484.0,No,No,Medium
sector 67,flat,3.0,3.0,2047.08,Yes,No,Low
sector 92,flat,4.0,4.0,1939.0,Yes,No,Medium
sector 109,flat,3.0,3.0,2519.0,Yes,No,Low
sector 108,flat,3.0,4.0,1500.0,Yes,No,Medium
sector 81,flat,2.0,2.0,607.0,No,Yes,Low
sector 102,flat,2.0,2.0,1100.0,No,No,Low
sector 103,house,4.0,4.0,3222.0,Yes,Yes,Medium
dlf phase,flat,3.0,3.0,1273.0,No,No,Medium
sector 65,flat,3.0,3.0,1650.0,Yes,Yes,High
sector 52,flat,4.0,3.0,2091.0,Yes,No,Medium
