sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 49,flat,orchid petals,2.45,11887.0,2061.08,Super Built up area 2061(191.47 sq.m.),3.0,3.0,3,0.0,North-East,Relatively New,2061.0,,,0,0,0,0,1,0,49,687.0266666666666
sector 109,house,international city by sobha phase 1,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5.0,6.0,3+,2.0,,Moderately Old,,2430.0,,0,0,1,0,0,0,30,486.0
sector 1,flat,sonata group housing gh 24,1.65,5892.0,2800.41,Carpet area: 2800 (260.13 sq.m.),4.0,3.0,3,8.0,,New Property,,,2800.0,0,0,1,0,0,0,20,700.1025
sector 7,house,independent,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),3.0,1.0,1.0,3.0,East,Relatively New,,550.0,,1,0,0,0,0,0,22,183.33333333333334
sector 37d,flat,bptp terra,1.4,7730.0,1811.13,Super Built up area 1811(168.25 sq.m.)Built Up area: 1711 sq.ft. (158.96 sq.m.)Carpet area: 1611 sq.ft. (149.67 sq.m.),3.0,3.0,3,5.0,South-East,Relatively New,1811.0,1711.0,1611.0,0,0,0,0,0,2,149,603.71
sector 106,flat,paras dews,0.92,6642.0,1385.12,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2.0,2.0,3+,2.0,East,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,0,174,692.56
sector 102,flat,shapoorji pallonji joyville gurugram,1.6,11700.0,1367.52,Built Up area: 1368 (127.09 sq.m.),2.0,2.0,3,14.0,,Moderately Old,,1368.0,,0,0,0,0,0,0,0,683.76
sector 80,flat,godrej frontier,1.6,7000.0,2285.71,Super Built up area 2262(210.15 sq.m.),3.0,3.0,3,5.0,,Moderately Old,2262.0,,,0,0,1,0,0,0,53,761.9033333333333
sector 78,flat,umang monsoon breeze,0.75,6053.0,1239.06,Built Up area: 1239 (115.11 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2.0,2.0,1,5.0,East,Undefined,,1239.0,1100.0,0,0,0,0,0,0,0,619.53
sector 86,flat,dlf the skycourt,1.58,8190.0,1929.18,Super Built up area 1929(179.21 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,3.0,1,16.0,North,Relatively New,1929.0,1750.0,1450.0,0,1,0,0,0,2,152,643.0600000000001
sector 3,house,independent,0.4,8000.0,500.0,Built Up area: 500 (46.45 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),2.0,1.0,0,1.0,South,Undefined,,500.0,300.0,0,0,0,0,0,0,0,250.0
sector 113,flat,la vida by tata housing,2.4,10825.0,2217.09,Super Built up area 2217(205.97 sq.m.)Built Up area: 1940 sq.ft. (180.23 sq.m.)Carpet area: 1730 sq.ft. (160.72 sq.m.),3.0,4.0,3+,5.0,North-East,Relatively New,2217.0,1940.0,1730.0,0,0,1,0,0,0,49,739.0300000000001
sector 49,house,uppal southend,4.4,15278.0,2880.0,Plot area 320(267.56 sq.m.),6.0,6.0,3.0,3.0,North,Moderately Old,,2880.0,,0,1,1,1,1,1,110,480.0
sector 67,flat,bestech park view spa next,3.32,12599.0,2635.13,Super Built up area 2635(244.8 sq.m.),4.0,5.0,3+,12.0,West,Moderately Old,2635.0,,,0,0,1,0,0,2,174,658.7825
sector 95,flat,ramsons kshitij,0.28,3650.0,767.12,Super Built up area 767(71.26 sq.m.),2.0,2.0,2,5.0,North-West,New Property,767.0,,,1,0,0,0,0,0,0,383.56
sector 104,flat,ats triumph,2.65,8412.0,3150.26,Super Built up area 3150(292.64 sq.m.),4.0,4.0,3+,10.0,North-East,Relatively New,3150.0,,,0,0,1,0,0,0,174,787.565
